id,name,gender,age,time,uf
1,Roger Jordan,Male,68,indefinido,GO
2,William Burns,Male,53,indefinido,MG
3,Justin Olson,Male,73,indefinido,SC
4,Sean Burke,Male,86,indefinido,MG
5,Tammy Fox,Female,32,indefinido,MG
6,Philip Payne,Male,31,indefinido,GO
7,Louise Long,Female,17,indefinido,DF
8,Cheryl Brooks,Female,24,indefinido,MG
9,Adam Frazier,Male,6,indefinido,DF
10,Fred Phillips,Male,8,indefinido,DF
11,Howard Chavez,Male,38,indefinido,GO
12,Carlos Howell,Male,49,indefinido,SC
13,Charles Gray,Male,75,indefinido,MG
14,Cheryl Morgan,Female,82,indefinido,MG
15,Jean Graham,Female,69,indefinido,GO
16,Melissa Holmes,Female,41,indefinido,SC
17,Jennifer Cruz,Female,78,indefinido,GO
18,Rachel Thompson,Female,87,indefinido,MG
19,Roger Hawkins,Male,84,indefinido,SC
20,Frank Baker,Male,32,indefinido,MG
21,Nicole Harris,Female,53,indefinido,DF
22,Jacqueline Weaver,Female,96,indefinido,SC
23,Ruth Spencer,Female,48,indefinido,SC
24,Kathryn Hall,Female,90,indefinido,GO
25,Earl Stone,Male,51,indefinido,DF
26,Jane Peters,Female,69,indefinido,SC
27,Thomas Ferguson,Male,21,indefinido,DF
28,Fred Taylor,Male,89,indefinido,SC
29,Margaret Long,Female,66,indefinido,MG
30,Ashley Wagner,Female,8,indefinido,DF
31,Willie Willis,Male,78,indefinido,SC
32,Deborah Arnold,Female,38,indefinido,GO
33,Carolyn Ross,Female,89,indefinido,SC
34,Harold Ramos,Male,100,indefinido,DF
35,Alan Martin,Male,97,indefinido,SC
36,Nicholas Woods,Male,25,indefinido,GO
37,Judy Cunningham,Female,52,indefinido,SC
38,Russell Fox,Male,34,indefinido,DF
39,Janice Cooper,Female,83,indefinido,MG
40,Philip Martin,Male,53,indefinido,DF
41,Lillian Wagner,Female,66,indefinido,GO
42,Wayne Willis,Male,70,indefinido,DF
43,Ryan Hart,Male,30,indefinido,SC
44,Rebecca Bell,Female,53,indefinido,MG
45,Martin Chavez,Male,19,indefinido,SC
46,Sandra Sims,Female,28,indefinido,DF
47,Judith Turner,Female,77,indefinido,DF
48,Steven Austin,Male,38,indefinido,DF
49,Amanda Stevens,Female,70,indefinido,MG
50,Bonnie Olson,Female,26,indefinido,SC
51,Adam Schmidt,Male,40,indefinido,DF
52,Shawn Clark,Male,87,indefinido,GO
53,Brenda Dunn,Female,36,indefinido,DF
54,Ryan Mcdonald,Male,55,indefinido,GO
55,Joe Barnes,Male,52,indefinido,MG
56,Paula Williams,Female,54,indefinido,GO
57,Martin Chapman,Male,48,indefinido,GO
58,Brian Wallace,Male,65,indefinido,DF
59,Wanda Freeman,Female,18,indefinido,SC
60,Steve King,Male,88,indefinido,SC
61,Walter Ramos,Male,95,indefinido,GO
62,Jason Shaw,Male,56,indefinido,MG
63,Randy Foster,Male,49,indefinido,SC
64,Kathleen Ramirez,Female,82,indefinido,GO
65,Willie Henderson,Male,15,indefinido,DF
66,Larry Stewart,Male,79,indefinido,MG
67,Robin Lawrence,Female,29,indefinido,GO
68,Michael Richards,Male,96,indefinido,SC
69,Dorothy Fisher,Female,13,indefinido,MG
70,Amanda Jordan,Female,61,indefinido,DF
71,Tammy Owens,Female,46,indefinido,DF
72,Scott Watson,Male,90,indefinido,SC
73,Andrew King,Male,97,indefinido,SC
74,Jacqueline Wheeler,Female,68,indefinido,MG
75,Marie Harvey,Female,34,indefinido,SC
76,Thomas Simmons,Male,62,indefinido,GO
77,Jean Watkins,Female,94,indefinido,GO
78,Janet Mcdonald,Female,43,indefinido,GO
79,Elizabeth Stephens,Female,37,indefinido,GO
80,Patricia Burns,Female,19,indefinido,SC
81,Doris Burns,Female,95,indefinido,DF
82,Jason Murphy,Male,67,indefinido,SC
83,Matthew Ford,Male,6,indefinido,MG
84,Phillip Hawkins,Male,46,indefinido,SC
85,Linda Harrison,Female,53,indefinido,MG
86,Roy Simpson,Male,77,indefinido,GO
87,Anthony Sims,Male,35,indefinido,GO
88,Justin Willis,Male,2,indefinido,MG
89,Nancy Carpenter,Female,35,indefinido,DF
90,Tammy Alvarez,Female,77,indefinido,SC
91,Theresa Murphy,Female,26,indefinido,GO
92,Teresa Ward,Female,60,indefinido,SC
93,Angela Foster,Female,9,indefinido,SC
94,Judy Martin,Female,76,indefinido,MG
95,Katherine Frazier,Female,27,indefinido,SC
96,Anne Price,Female,19,indefinido,MG
97,Betty George,Female,8,indefinido,SC
98,Kevin Welch,Male,96,indefinido,GO
99,Joan Boyd,Female,91,indefinido,DF
100,Brenda Jenkins,Female,52,indefinido,MG
